,SensitiveSplit10,SensitiveSplit10,SensitiveSplit50,SensitiveSplit50,SensitiveSplit90,SensitiveSplit90
,lower corr,upper corr,lower corr,upper corr,lower corr,upper corr
omit,,,,,,
0.0,0.9380613421082942,0.6991373277630408,0.8580778144647256,0.8652880322647742,0.7217638530761474,0.9391937676571993
0.1,0.9381577970289922,0.705165217560151,0.8625892251202426,0.863315461729943,0.714427776568345,0.9370801684608997
0.2,0.9378053354241873,0.7310401950138696,0.8513260542279351,0.8612111398491061,0.7262156150538314,0.9347396090787516
0.30000000000000004,0.9380786656194255,0.7129301423073758,0.8532346854813462,0.8641017713461773,0.6897555307535963,0.9305876768230401
0.4,0.9402075921993657,0.7079800200109547,0.8493960021992706,0.8602725093217977,0.676502198509729,0.9265615883752961
0.5,0.9391656707223145,0.7165358007131861,0.8449766887346113,0.8540179300810422,0.6690347975247404,0.9146806038052612
0.6000000000000001,0.9378528969530425,0.6971964122401726,0.8388833247106902,0.843436967463513,0.6225414530044812,0.9050559054766808
0.7000000000000001,0.9368542649412213,0.6909061629472651,0.8238072328059157,0.8400546807054263,0.5926406703326369,0.8862559949544913
0.8,0.9373758381527649,0.6708220415734499,0.819140638117329,0.8305780821152,0.5726118592627794,0.8561305548384487
0.9,0.9348163749316509,0.6967140023923266,0.8174271845678325,0.8198126741571986,0.5380585604948115,0.8254488096720387
1.0,0.9361876400365707,0.6767297523000455,0.7872176961528855,0.7655552991259386,0.35446511671461434,0.5929456775181337
