,SensitiveSplit10,SensitiveSplit10,SensitiveSplit50,SensitiveSplit50,SensitiveSplit90,SensitiveSplit90
,lower corr,upper corr,lower corr,upper corr,lower corr,upper corr
xnoise,,,,,,
0.0,0.9389889801213765,0.7126189449014618,0.8663432481117767,0.8601559313032101,0.7309687283708184,0.9393444457950387
0.1,0.9392652765777616,0.7144081684216783,0.8624897178388716,0.8611062027477207,0.7028409172086638,0.9345446774434377
0.2,0.938820908739142,0.7013483027768926,0.8540903601134102,0.8560763722336804,0.6914377005142736,0.9306479386018734
0.30000000000000004,0.9369328199345514,0.6915998585002809,0.8444077335271587,0.8455715796071297,0.6616953117151592,0.9224641288519173
0.4,0.9350467279504444,0.6671747369820166,0.8291770868969535,0.8219390489129423,0.641919693860374,0.9100262758348869
0.5,0.9321297498808784,0.6559028766479731,0.8123374210180445,0.8051193999466323,0.6098192810287162,0.8971262428461134
0.6000000000000001,0.9299516222817118,0.6357862796068213,0.7905198265890617,0.7757278414853108,0.5702284056248138,0.8803227764608834
0.7000000000000001,0.9255010899754232,0.6241670404944275,0.7681493166594558,0.7505014959104933,0.5327990812824596,0.8606343828254246
0.8,0.921226813383841,0.6086024015088324,0.7522296313030493,0.716883514511802,0.5124035268834011,0.8414104773495931
0.9,0.9174892939363704,0.5976755568204131,0.7183274754658904,0.6801719580539783,0.48485655887723383,0.818728260712103
1.0,0.9120629281870272,0.5915254146589729,0.694017278909163,0.6450650997636976,0.44115443575327273,0.79853711979021
1.1,0.9074055938875392,0.5665632264785081,0.6737403903138233,0.6165169894358338,0.43573444908382586,0.7775916486258007
1.2000000000000002,0.9012235654865529,0.521209007542242,0.6445469367160218,0.5804029870427723,0.4037787890962993,0.7542510209020624
1.3,0.8951677009534343,0.508223199968349,0.6175389541237746,0.5677581480348219,0.3783651401610766,0.72799319512392
1.4000000000000001,0.8899433086171014,0.4728236686358741,0.5979194816066685,0.5514658573562051,0.36934974882308247,0.7117323634244275
1.5,0.8851554394900594,0.45514975628052723,0.5883488110983979,0.5352271932850157,0.3446547309185578,0.6945156441528445
1.6,0.8759606945253431,0.39978588510958235,0.5799509199761679,0.5227644020634117,0.3262018719897946,0.6767058356523133
1.7000000000000002,0.871431425575367,0.37237047580446003,0.555898257220689,0.49284067577750823,0.2981128202642016,0.6590812580370592
1.8,0.8690269931659038,0.37050300104147743,0.5548604365355179,0.48112869389416346,0.3023656937820276,0.6346055750943203
1.9000000000000001,0.8677520423535761,0.3483570570708733,0.5504227168130935,0.46663468954763604,0.28789652610035366,0.6209519511709971
2.0,0.8628175037956923,0.33312197969938867,0.5398750374805881,0.47132752138474565,0.2853878706519521,0.6128714563067446
