noise_type,noise_param,censor_split,clean_frac,noised_rmse_mean,noised_rmse_std,noised_lower_rmse_mean,noised_lower_rmse_std,noised_upper_rmse_mean,noised_upper_rmse_std,noised_corr_mean,noised_corr_std,noised_lower_corr_mean,noised_lower_corr_std,noised_upper_corr_mean,noised_upper_corr_std,finetuned_rmse_mean,finetuned_rmse_std,finetuned_lower_rmse_mean,finetuned_lower_rmse_std,finetuned_upper_rmse_mean,finetuned_upper_rmse_std,finetuned_corr_mean,finetuned_corr_std,finetuned_lower_corr_mean,finetuned_lower_corr_std,finetuned_upper_corr_mean,finetuned_upper_corr_std,n_finetune_samples_mean,n_finetune_samples_std
ynoise,0.0,0.1,0.0,0.7747477293014526,0.044008760242327936,0.7659381866455078,0.03597164358499947,0.8211101055145263,0.14764732607373476,0.7660860507328664,0.020974711479371674,0.7418580338143473,0.024665268425768737,0.12924643255787413,0.22278669295985343,,,,,,,,,,,,,0.0,0.0
ynoise,0.0,0.1,0.05,0.7747477293014526,0.044008760242327936,0.7659381866455078,0.03597164358499947,0.8211101055145263,0.14764732607373476,0.7660860507328664,0.020974711479371674,0.7418580338143473,0.024665268425768737,0.12924643255787413,0.22278669295985343,1.2511459827423095,0.22381442191484166,1.3000244736671447,0.23617420843802192,0.5934775471687317,0.07227537580792946,0.7617320008024001,0.02363414520387988,0.7389772413015525,0.025170644647677234,0.11435333795878802,0.2222049937519174,15.8,0.39999999999999997
ynoise,0.0,0.1,0.1,0.7747477293014526,0.044008760242327936,0.7659381866455078,0.03597164358499947,0.8211101055145263,0.14764732607373476,0.7660860507328664,0.020974711479371674,0.7418580338143473,0.024665268425768737,0.12924643255787413,0.22278669295985343,1.2304121613502503,0.3495998277828571,1.277781069278717,0.3654523808151653,0.5924866735935211,0.19346361470985846,0.7522283848634311,0.030922388879423002,0.7263379426931452,0.04061120300621212,0.09021511759231093,0.17664179057394241,32.2,1.16619037896906
ynoise,0.0,0.1,0.2,0.7747477293014526,0.044008760242327936,0.7659381866455078,0.03597164358499947,0.8211101055145263,0.14764732607373476,0.7660860507328664,0.020974711479371674,0.7418580338143473,0.024665268425768737,0.12924643255787413,0.22278669295985343,1.1427029371261597,0.10003057836929115,1.19046790599823,0.10460115151604871,0.45658143162727355,0.06988807232720955,0.7560702620150155,0.020535418250919237,0.732259573331222,0.023167082886553936,0.11888000070824409,0.17637667222543063,64.8,1.9390719429665317
ynoise,0.0,0.1,0.5,0.7747477293014526,0.044008760242327936,0.7659381866455078,0.03597164358499947,0.8211101055145263,0.14764732607373476,0.7660860507328664,0.020974711479371674,0.7418580338143473,0.024665268425768737,0.12924643255787413,0.22278669295985343,1.2457556486129762,0.08748490552473943,1.3012794971466064,0.09558139349561735,0.4209428668022156,0.07103893975902928,0.730339943607407,0.019841751176063054,0.7069003441916111,0.0188052485945775,0.13591604883689695,0.1372922846128135,162.4,5.238320341483519
ynoise,0.0,0.1,1.0,0.7747477293014526,0.044008760242327936,0.7659381866455078,0.03597164358499947,0.8211101055145263,0.14764732607373476,0.7660860507328664,0.020974711479371674,0.7418580338143473,0.024665268425768737,0.12924643255787413,0.22278669295985343,1.3454933881759643,0.08894745999070554,1.4080603122711182,0.09394426370317462,0.37035388946533204,0.06895795366153988,0.7207739243044584,0.01621470465516911,0.6953234231876874,0.01894517379570843,0.1846917029803578,0.1512993949942181,325.4,10.32666451474047
ynoise,0.5,0.1,0.0,0.7824906468391418,0.04310906073783532,0.7639642357826233,0.03869053754788207,0.9139833807945251,0.24161068216297152,0.7589407296670923,0.01891128953847581,0.7381016544234336,0.01833338625043336,0.22422303986423323,0.22134319177830122,,,,,,,,,,,,,0.0,0.0
ynoise,0.5,0.1,0.05,0.7824906468391418,0.04310906073783532,0.7639642357826233,0.03869053754788207,0.9139833807945251,0.24161068216297152,0.7589407296670923,0.01891128953847581,0.7381016544234336,0.01833338625043336,0.22422303986423323,0.22134319177830122,1.3102638483047486,0.19043122484460087,1.3641726493835449,0.19171857364983041,0.5509836316108704,0.10993864935163658,0.7511767640173969,0.018580997822605104,0.7312802786423445,0.01718278839903891,0.1954657196232171,0.2540132112903431,15.8,0.39999999999999997
ynoise,0.5,0.1,0.1,0.7824906468391418,0.04310906073783532,0.7639642357826233,0.03869053754788207,0.9139833807945251,0.24161068216297152,0.7589407296670923,0.01891128953847581,0.7381016544234336,0.01833338625043336,0.22422303986423323,0.22134319177830122,1.3324624300003052,0.28944198941077814,1.3867382526397705,0.29659784303723175,0.5758943796157837,0.1235521561789456,0.7475370081271028,0.019226134954923733,0.7271712787064997,0.022300345553529895,0.19954806186987334,0.22777824960744444,32.2,1.16619037896906
ynoise,0.5,0.1,0.2,0.7824906468391418,0.04310906073783532,0.7639642357826233,0.03869053754788207,0.9139833807945251,0.24161068216297152,0.7589407296670923,0.01891128953847581,0.7381016544234336,0.01833338625043336,0.22422303986423323,0.22134319177830122,1.1379033207893372,0.10407610435323482,1.1852830171585083,0.10684825020774145,0.459140419960022,0.05077086001528658,0.7453224966719878,0.018807853723418564,0.7246029146409458,0.01605366281313101,0.21747578857512279,0.19893363219253715,64.8,1.9390719429665317
