,SensitiveSplit10,SensitiveSplit10,SensitiveSplit50,SensitiveSplit50,SensitiveSplit90,SensitiveSplit90
,lower corr,upper corr,lower corr,upper corr,lower corr,upper corr
omit frac,,,,,,
0.0,0.7239680198,0.0869336424,0.5614382055,0.37185124340000003,0.4787467871,0.6827832031000001
0.1,0.7204003211000001,-0.0121796351,0.4529029861,0.2718022402,0.3392159312,0.5268721375000001
0.2,0.7266742854,-0.015096652300000001,0.45809261900000003,0.2337026542,0.09469806010000001,0.3183015792
0.30000000000000004,0.7219280693,-0.0195048313,0.47103310880000004,0.2570090615,0.2283666593,0.3815614335
0.4,0.7284615149,-0.0040054564,0.4638805828,0.24211946180000002,0.11260861180000001,0.2050856278
0.5,0.7304076596,0.027167443500000003,0.49386527560000004,0.2672666886,0.1053459642,0.20981131560000002
0.6000000000000001,0.7308886243,0.0304980676,0.488375516,0.273452187,-0.049306532,0.0367084683
0.7000000000000001,0.7362497767,-0.0093496931,0.4733853549,0.2510182259,-0.021833891,0.07514935040000001
0.8,0.7187780677000001,0.0098721439,0.4933619797,0.26260881480000003,0.0398743728,0.1419462237
0.9,0.7250727094,0.0055836933,0.47510332390000004,0.2435791511,0.185547298,0.2282371582
1.0,0.7221436083,0.015325224600000001,0.5426546130000001,0.19533048760000002,0.3305929938,0.1834362216
